d3e104250Heiligenlexikon-1858;Q324548;https://damaskino.github.io/HeiligenlexikonMapping?id=d3e104250Heiligenlexikon-1858;https://www.wikidata.org/wiki/Q324548;0;Beatus
d3e147639Heiligenlexikon-1858;Q3483351;https://damaskino.github.io/HeiligenlexikonMapping?id=d3e147639Heiligenlexikon-1858;https://www.wikidata.org/wiki/Q3483351;0;Cedonius
d3e149321Heiligenlexikon-1858;Q590391;https://damaskino.github.io/HeiligenlexikonMapping?id=d3e149321Heiligenlexikon-1858;https://www.wikidata.org/wiki/Q590391;0;Cerbonius
d3e337047Heiligenlexikon-1858;Q337537;https://damaskino.github.io/HeiligenlexikonMapping?id=d3e337047Heiligenlexikon-1858;https://www.wikidata.org/wiki/Q337537;0;Gregorius Thaumaturgus
d5e154693Heiligenlexikon-1858;Q3650657;https://damaskino.github.io/HeiligenlexikonMapping?id=d5e154693Heiligenlexikon-1858;https://www.wikidata.org/wiki/Q3650657;0;Pambo
d3e335406Heiligenlexikon-1858;Q191734;https://damaskino.github.io/HeiligenlexikonMapping?id=d3e335406Heiligenlexikon-1858;https://www.wikidata.org/wiki/Q191734;0;Gregorius Nyssenus
d3e55486Heiligenlexikon-1858;Q569475;https://damaskino.github.io/HeiligenlexikonMapping?id=d3e55486Heiligenlexikon-1858;https://www.wikidata.org/wiki/Q569475;0;Ansegisus
d5e407493Heiligenlexikon-1858;Q3816961;https://damaskino.github.io/HeiligenlexikonMapping?id=d5e407493Heiligenlexikon-1858;https://www.wikidata.org/wiki/Q3816961;0;Zoilus
d3e169528Heiligenlexikon-1858;Q2180834;https://damaskino.github.io/HeiligenlexikonMapping?id=d3e169528Heiligenlexikon-1858;https://www.wikidata.org/wiki/Q2180834;0;Conon
d3e5793Heiligenlexikon-1858;Q348198;https://damaskino.github.io/HeiligenlexikonMapping?id=d3e5793Heiligenlexikon-1858;https://www.wikidata.org/wiki/Q348198;0;Adalardus
d3e182347Heiligenlexikon-1858;Q5200390;https://damaskino.github.io/HeiligenlexikonMapping?id=d3e182347Heiligenlexikon-1858;https://www.wikidata.org/wiki/Q5200390;0;Cyprianus
