d3e104250Heiligenlexikon-1858;Q324548;1;0.36821621656417847
d3e147639Heiligenlexikon-1858;Q3483351;1;0.5763943791389465
d3e149321Heiligenlexikon-1858;Q590391;1;0.7401578426361084
d3e337047Heiligenlexikon-1858;Q337537;1;0.7318587303161621
d5e154693Heiligenlexikon-1858;Q3650657;1;0.5146085619926453
d3e335406Heiligenlexikon-1858;Q191734;1;0.634183406829834
d3e55486Heiligenlexikon-1858;Q569475;1;0.7654609680175781
d5e407493Heiligenlexikon-1858;Q3816961;1;0.6554369330406189
d3e169528Heiligenlexikon-1858;Q2180834;1;0.6894624829292297
d3e5793Heiligenlexikon-1858;Q348198;1;0.39353516697883606
d3e182347Heiligenlexikon-1858;Q5200390;1;0.21666546165943146
d5e71770Heiligenlexikon-1858;Q1911506;1;0.6337337493896484
d5e55949Heiligenlexikon-1858;Q3947636;1;0.729509711265564
d3e1911Heiligenlexikon-1858;Q2485199;1;0.5431948900222778
d3e389106Heiligenlexikon-1858;Q653804;1;0.3712362051010132
d3e576691Heiligenlexikon-1858;Q132793;1;0.6374210119247437
d5e95281Heiligenlexikon-1858;Q3463994;1;0.6493210196495056
d3e533287Heiligenlexikon-1858;Q7401645;1;0.5206499695777893
d3e147376Heiligenlexikon-1858;Q742311;1;0.661647617816925
d5e374925Heiligenlexikon-1858;Q935870;1;0.27153176069259644
d5e200907Heiligenlexikon-1858;Q1144235;1;0.8532621264457703
d3e96695Heiligenlexikon-1858;Q2293531;1;0.8469329476356506
d5e16746Heiligenlexikon-1858;Q1737567;1;0.6999162435531616
d5e285874Heiligenlexikon-1858;Q860649;1;0.2988063097000122
d5e404275Heiligenlexikon-1858;Q259631;1;0.5592755079269409
d5e311870Heiligenlexikon-1858;Q3065847;1;0.3758697807788849
d5e407100Heiligenlexikon-1858;Q227105;1;0.31320130825042725
d5e362408Heiligenlexikon-1858;Q192151;1;0.6129036545753479
d5e137168Heiligenlexikon-1858;Q2039864;1;0.3728823661804199
d5e405381Heiligenlexikon-1858;Q189776;1;0.6351369023323059
d5e362390Heiligenlexikon-1858;Q192151;1;0.6420606374740601
d5e357559Heiligenlexikon-1858;Q125631;1;0.7108576893806458
d5e229928Heiligenlexikon-1858;Q688884;1;0.7839435338973999
d3e180512Heiligenlexikon-1858;Q78718;1;0.5777037739753723
d5e334223Heiligenlexikon-1858;Q1260525;1;0.7778487801551819
d3e214107Heiligenlexikon-1858;Q242274;1;0.7244330644607544
d5e142296Heiligenlexikon-1858;Q1396397;1;0.7951297163963318
