;HeiligenLexikonID;GoldWikidataID;SystemMatch;SystemMatchLanguage;SystemMatchSimilarity
0;d5e349815Heiligenlexikon-1858;;Q4153586;ru;0.9361520409584045
1;d3e522526Heiligenlexikon-1858;;Q11767925;ru;0.9066569805145264
2;d3e311653Heiligenlexikon-1858;Q315312;Q4153586;ru;0.9107170701026917
3;d3e25297Heiligenlexikon-1858;;Q4153586;ru;0.9091225862503052
4;d3e110973Heiligenlexikon-1858;;Q4153586;ru;0.8924034833908081
5;d3e139625Heiligenlexikon-1858;;Q4153586;ru;0.8777615427970886
6;d5e301884Heiligenlexikon-1858;;Q3526591;ru;0.9234634637832642
7;d3e239468Heiligenlexikon-1858;;Q3103660;ru;0.9287925958633423
8;d5e306463Heiligenlexikon-1858;;Q4153586;ru;0.9176498651504517
9;d5e95141Heiligenlexikon-1858;Q6819933;Q3801309;uk;0.9290191531181335
10;d5e346893Heiligenlexikon-1858;Q2183266;Q3526591;ru;0.9478629231452942
11;d5e158395Heiligenlexikon-1858;Q84552620;Q3526591;ru;0.9022350311279297
12;d5e145552Heiligenlexikon-1858;Q1989038;Q4153586;ru;0.9362444877624512
13;d3e49619Heiligenlexikon-1858;;Q4153586;ru;0.9028288722038269
14;d5e205231Heiligenlexikon-1858;;Q4153586;ru;0.9443071484565735
15;d3e389085Heiligenlexikon-1858;;Q4153586;ru;0.9153897762298584
16;d5e33411Heiligenlexikon-1858;;Q4153586;ru;0.9118151664733887
17;d3e137989Heiligenlexikon-1858;;Q4153586;ru;0.9069445133209229
18;d3e10136Heiligenlexikon-1858;;Q937362;ru;0.9371693730354309
19;d5e315087Heiligenlexikon-1858;;Q3526591;ru;0.920835018157959
20;d3e41473Heiligenlexikon-1858;;Q4153586;ru;0.9027223587036133
21;d3e165608Heiligenlexikon-1858;;Q44155165;ru;0.9054678678512573
22;d5e302380Heiligenlexikon-1858;;Q11915692;ca;0.9028321504592896
23;d3e68329Heiligenlexikon-1858;;Q3103660;ru;0.8761670589447021
24;d3e371904Heiligenlexikon-1858;;Q4153586;ru;0.8814313411712646
25;d3e539324Heiligenlexikon-1858;;Q28665743;ru;0.9510519504547119
26;d3e102925Heiligenlexikon-1858;;Q3603452;it;0.8900546431541443
27;d5e115514Heiligenlexikon-1858;;Q4153586;ru;0.9060715436935425
28;d3e349025Heiligenlexikon-1858;;Q4153586;ru;0.9422752857208252
29;d3e123695Heiligenlexikon-1858;Q216946;Q4153586;ru;0.9180440306663513
30;d3e89626Heiligenlexikon-1858;Q4828162;Q11767925;ru;0.9147099256515503
31;d5e122241Heiligenlexikon-1858;Q3335424;Q9374468;pl;0.8668677806854248
32;d3e56488Heiligenlexikon-1858;;Q4153586;ru;0.923112154006958
33;d3e536341Heiligenlexikon-1858;Q3217111;Q11767925;ru;0.9477075934410095
34;d3e86709Heiligenlexikon-1858;Q775906;Q4153586;ru;0.8840507864952087
35;d3e305601Heiligenlexikon-1858;Q745899;Q16662692;ru;0.9338873028755188
36;d3e343025Heiligenlexikon-1858;;Q4153586;ru;0.8940942287445068
37;d5e317572Heiligenlexikon-1858;;Q4153586;ru;0.9332249760627747
38;d3e232852Heiligenlexikon-1858;;Q3526591;ru;0.9057306051254272
39;d3e489912Heiligenlexikon-1858;;Q28665743;ru;0.9324332475662231
40;d5e263160Heiligenlexikon-1858;;Q4153586;ru;0.9420636296272278
41;d3e43423Heiligenlexikon-1858;Q3614655;Q1115957;bg;0.9258905649185181
42;d3e193650Heiligenlexikon-1858;Q310633;Q4153586;ru;0.9070033431053162
43;d3e31275Heiligenlexikon-1858;;Q4153586;ru;0.9128533601760864
44;d5e347300Heiligenlexikon-1858;;Q3526591;ru;0.947795033454895
45;d5e261072Heiligenlexikon-1858;Q316440;Q2362587;ru;0.9311145544052124
46;d3e276933Heiligenlexikon-1858;Q509569;Q1993082;ru;0.922596275806427
47;d5e53786Heiligenlexikon-1858;Q1083918;Q44155165;ru;0.9426992535591125
48;d3e233844Heiligenlexikon-1858;;Q44155165;ru;0.9330081343650818
49;d3e565650Heiligenlexikon-1858;;Q44155165;ru;0.8984513282775879
50;d5e122935Heiligenlexikon-1858;Q2100489;Q4153586;ru;0.9014044404029846
51;d5e287796Heiligenlexikon-1858;;Q3526591;ru;0.9215583205223083
52;d3e521565Heiligenlexikon-1858;;Q3526591;ru;0.9319734573364258
53;d5e385107Heiligenlexikon-1858;;Q4153586;ru;0.954476535320282
54;d5e320315Heiligenlexikon-1858;;Q4284384;ru;0.9343541860580444
55;d5e282272Heiligenlexikon-1858;Q22212885;Q4153586;ru;0.923454225063324
56;d3e56015Heiligenlexikon-1858;;Q4153586;ru;0.9074065685272217
57;d5e100189Heiligenlexikon-1858;;Q3526591;ru;0.9011167287826538
58;d3e413214Heiligenlexikon-1858;;Q4153586;ru;0.8820812106132507
59;d5e203445Heiligenlexikon-1858;Q174323;Q3103660;ru;0.9602570533752441
60;d3e250410Heiligenlexikon-1858;Q2331447;Q3526591;ru;0.9142264127731323
61;d3e309420Heiligenlexikon-1858;;Q4153586;ru;0.9340630769729614
62;d3e93441Heiligenlexikon-1858;;Q4153586;ru;0.9109886288642883
63;d3e117719Heiligenlexikon-1858;;Q3801309;uk;0.8881423473358154
64;d3e566996Heiligenlexikon-1858;;Q4153586;ru;0.9054377675056458
65;d3e349834Heiligenlexikon-1858;Q1236844;Q4153586;ru;0.9267196655273438
66;d3e9109Heiligenlexikon-1858;;Q4153586;ru;0.9378812909126282
67;d3e118395Heiligenlexikon-1858;Q204996;Q3099647;ru;0.9252361059188843
68;d3e548499Heiligenlexikon-1858;Q442235;Q7916763;ru;0.9449583292007446
69;d5e323642Heiligenlexikon-1858;;Q4153586;ru;0.9193528294563293
70;d3e228395Heiligenlexikon-1858;Q2389729;Q24351754;ru;0.9194568395614624
71;d3e557167Heiligenlexikon-1858;Q3237693;Q7916763;ru;0.9383723735809326
72;d5e267522Heiligenlexikon-1858;;Q3526591;ru;0.8651663661003113
73;d5e258646Heiligenlexikon-1858;;Q4153586;ru;0.9144991636276245
74;d3e189144Heiligenlexikon-1858;;Q3526591;ru;0.9301666617393494
75;d5e124567Heiligenlexikon-1858;Q14634630;Q4153586;ru;0.8982834815979004
76;d3e120779Heiligenlexikon-1858;;Q4342582;ru;0.9213800430297852
77;d5e324518Heiligenlexikon-1858;;Q16662692;ru;0.9370933771133423
78;d3e19899Heiligenlexikon-1858;Q2720655;Q935458;it;0.9139909744262695
79;d5e140505Heiligenlexikon-1858;Q109859523;Q3526591;ru;0.938286304473877
80;d5e65705Heiligenlexikon-1858;;Q4153586;ru;0.9244047403335571
81;d5e48525Heiligenlexikon-1858;;Q28664512;ru;0.9028921127319336
82;d3e24103Heiligenlexikon-1858;;Q3801309;uk;0.9399664998054504
83;d3e229820Heiligenlexikon-1858;Q2186180;Q3526591;ru;0.9086053967475891
84;d5e86400Heiligenlexikon-1858;;Q4153586;ru;0.9050107002258301
85;d5e159261Heiligenlexikon-1858;;Q4153586;ru;0.9132800698280334
86;d3e13492Heiligenlexikon-1858;;Q4153586;ru;0.8787704110145569
87;d3e205609Heiligenlexikon-1858;;Q3526591;ru;0.8874450922012329
88;d5e225999Heiligenlexikon-1858;;Q4153586;ru;0.8786415457725525
89;d3e210984Heiligenlexikon-1858;;Q3526591;ru;0.9235987663269043
90;d3e508350Heiligenlexikon-1858;;Q4284955;ru;0.8875014781951904
91;d3e130431Heiligenlexikon-1858;;Q11915692;ca;0.8368718028068542
92;d3e32350Heiligenlexikon-1858;Q392097;Q11739843;pl;0.8941365480422974
93;d3e326146Heiligenlexikon-1858;;Q3526591;ru;0.9086928963661194
94;d3e69890Heiligenlexikon-1858;;Q3526591;ru;0.9010289907455444
95;d5e391029Heiligenlexikon-1858;Q160686;Q9374468;pl;0.8839332461357117
96;d5e77559Heiligenlexikon-1858;Q6795631;Q4153586;ru;0.9432471394538879
97;d3e20044Heiligenlexikon-1858;;Q11915692;ca;0.9024196267127991
98;d3e571901Heiligenlexikon-1858;;Q3526591;ru;0.9081902503967285
99;d3e90311Heiligenlexikon-1858;;Q4153586;ru;0.8971849083900452
100;d3e192747Heiligenlexikon-1858;Q6955878;Q3801309;uk;0.9097915887832642
101;d5e391819Heiligenlexikon-1858;;Q3560032;ru;0.8812445998191833
102;d3e306563Heiligenlexikon-1858;Q3553492;Q4153586;ru;0.9459809064865112
103;d5e92324Heiligenlexikon-1858;Q3333191;Q4153586;ru;0.9209039807319641
104;d5e19026Heiligenlexikon-1858;;Q4153586;ru;0.9222805500030518
105;d3e357705Heiligenlexikon-1858;Q113356901;Q4153586;ru;0.9047034978866577
106;d5e71552Heiligenlexikon-1858;;Q3103660;ru;0.9461650252342224
107;d5e268685Heiligenlexikon-1858;;Q4153586;ru;0.9150420427322388
108;d5e139683Heiligenlexikon-1858;Q436718;Q28664272;ru;0.9380046725273132
109;d5e384613Heiligenlexikon-1858;;Q3526591;ru;0.9357020258903503
110;d3e18842Heiligenlexikon-1858;;Q4153586;ru;0.893185019493103
111;d3e543706Heiligenlexikon-1858;Q3218578;Q16662692;ru;0.9194231629371643
112;d5e201520Heiligenlexikon-1858;Q24907936;Q16662692;ru;0.945858895778656
113;d3e237074Heiligenlexikon-1858;;Q4153586;ru;0.8467527627944946
114;d5e26057Heiligenlexikon-1858;Q1860719;Q3526591;ru;0.8959242105484009
115;d5e306956Heiligenlexikon-1858;;Q4153586;ru;0.9264816045761108
116;d3e30118Heiligenlexikon-1858;;Q2362587;ru;0.9317121505737305
117;d3e30118Heiligenlexikon-1858;Q80028;Q2362587;ru;0.9317121505737305
118;d3e118645Heiligenlexikon-1858;;Q16662692;ru;0.8824328780174255
119;d3e450997Heiligenlexikon-1858;Q3175777;Q3055864;fr;0.9422777891159058
120;d3e21248Heiligenlexikon-1858;Q395171;Q4281886;ru;0.9257946610450745
121;d3e352729Heiligenlexikon-1858;;Q4153586;ru;0.8929369449615479
122;d5e145989Heiligenlexikon-1858;;Q4153586;ru;0.9302659034729004
123;d3e351500Heiligenlexikon-1858;;Q4153586;ru;0.8841357827186584
124;d3e406698Heiligenlexikon-1858;;Q4153586;ru;0.9177869558334351
